date,hour,minute,interval_start,price_eur_mwh,volume_mwh
2026-01-04,7,0,2026-01-04T07:00:00,85.88,742.375
2026-01-04,7,15,2026-01-04T07:15:00,85.8,732.825
2026-01-04,7,30,2026-01-04T07:30:00,86.9,726.725
2026-01-04,7,45,2026-01-04T07:45:00,90.1,721.125
2026-01-04,8,0,2026-01-04T08:00:00,87.4,727.225
2026-01-04,8,15,2026-01-04T08:15:00,88.85,718.225
2026-01-04,8,30,2026-01-04T08:30:00,88.85,707.2
2026-01-04,8,45,2026-01-04T08:45:00,89.59,700.025
2026-01-04,9,0,2026-01-04T09:00:00,94.02,705.625
2026-01-04,9,15,2026-01-04T09:15:00,96.0,699.4
2026-01-04,9,30,2026-01-04T09:30:00,95.99,692.7
2026-01-04,9,45,2026-01-04T09:45:00,91.19,680.675
2026-01-04,10,0,2026-01-04T10:00:00,103.94,683.175
2026-01-04,10,15,2026-01-04T10:15:00,97.19,684.225
2026-01-04,10,30,2026-01-04T10:30:00,90.92,682.025
2026-01-04,10,45,2026-01-04T10:45:00,86.97,684.5
2026-01-04,11,0,2026-01-04T11:00:00,93.85,690.675
2026-01-04,11,15,2026-01-04T11:15:00,89.99,690.5
2026-01-04,11,30,2026-01-04T11:30:00,89.96,691.575
2026-01-04,11,45,2026-01-04T11:45:00,89.71,702.175
2026-01-04,12,0,2026-01-04T12:00:00,91.3,702.55
2026-01-04,12,15,2026-01-04T12:15:00,89.7,707.05
2026-01-04,12,30,2026-01-04T12:30:00,89.94,708.5
2026-01-04,12,45,2026-01-04T12:45:00,87.23,702.45
2026-01-04,13,0,2026-01-04T13:00:00,86.2,692.525
2026-01-04,13,15,2026-01-04T13:15:00,85.27,690.3
2026-01-04,13,30,2026-01-04T13:30:00,86.19,691.175
2026-01-04,13,45,2026-01-04T13:45:00,89.45,688.475
2026-01-04,14,0,2026-01-04T14:00:00,83.5,694.3
2026-01-04,14,15,2026-01-04T14:15:00,89.51,693.0
2026-01-04,14,30,2026-01-04T14:30:00,96.41,694.975
2026-01-04,14,45,2026-01-04T14:45:00,102.14,692.275
2026-01-04,15,0,2026-01-04T15:00:00,83.76,704.75
2026-01-04,15,15,2026-01-04T15:15:00,90.62,729.6
2026-01-04,15,30,2026-01-04T15:30:00,96.79,782.275
2026-01-04,15,45,2026-01-04T15:45:00,104.41,815.55
2026-01-04,16,0,2026-01-04T16:00:00,96.9,879.375
2026-01-04,16,15,2026-01-04T16:15:00,107.78,908.95
2026-01-04,16,30,2026-01-04T16:30:00,110.95,918.625
2026-01-04,16,45,2026-01-04T16:45:00,117.1,921.075
2026-01-04,17,0,2026-01-04T17:00:00,113.99,930.05
2026-01-04,17,15,2026-01-04T17:15:00,119.02,932.225
2026-01-04,17,30,2026-01-04T17:30:00,117.5,938.4
2026-01-04,17,45,2026-01-04T17:45:00,123.19,953.75
2026-01-04,18,0,2026-01-04T18:00:00,121.0,958.0
2026-01-04,18,15,2026-01-04T18:15:00,120.93,959.1
2026-01-04,18,30,2026-01-04T18:30:00,119.49,962.3
2026-01-04,18,45,2026-01-04T18:45:00,123.3,976.25
2026-01-04,19,0,2026-01-04T19:00:00,123.5,970.225
2026-01-04,19,15,2026-01-04T19:15:00,120.92,975.725
2026-01-04,19,30,2026-01-04T19:30:00,119.38,975.775
2026-01-04,19,45,2026-01-04T19:45:00,115.06,976.425
2026-01-04,20,0,2026-01-04T20:00:00,121.3,967.775
2026-01-04,20,15,2026-01-04T20:15:00,115.33,964.55
2026-01-04,20,30,2026-01-04T20:30:00,110.0,970.7
2026-01-04,20,45,2026-01-04T20:45:00,103.17,977.975
2026-01-04,21,0,2026-01-04T21:00:00,106.87,985.75
2026-01-04,21,15,2026-01-04T21:15:00,102.02,992.75
2026-01-04,21,30,2026-01-04T21:30:00,97.96,996.8
2026-01-04,21,45,2026-01-04T21:45:00,92.79,998.375
2026-01-04,22,0,2026-01-04T22:00:00,104.77,972.825
2026-01-04,22,15,2026-01-04T22:15:00,100.5,968.0
2026-01-04,22,30,2026-01-04T22:30:00,97.83,965.0
2026-01-04,22,45,2026-01-04T22:45:00,90.68,966.625
2026-01-04,23,0,2026-01-04T23:00:00,97.61,928.825
2026-01-04,23,15,2026-01-04T23:15:00,89.73,922.55
2026-01-04,23,30,2026-01-04T23:30:00,86.33,860.1
2026-01-04,23,45,2026-01-04T23:45:00,83.17,752.725
2026-01-05,0,0,2026-01-05T00:00:00,108.15,619.025
2026-01-05,0,15,2026-01-05T00:15:00,91.48,608.3
2026-01-05,0,30,2026-01-05T00:30:00,87.94,607.9
2026-01-05,0,45,2026-01-05T00:45:00,82.58,593.375
2026-01-05,1,0,2026-01-05T01:00:00,92.96,595.225
2026-01-05,1,15,2026-01-05T01:15:00,90.0,594.1
2026-01-05,1,30,2026-01-05T01:30:00,86.74,601.35
2026-01-05,1,45,2026-01-05T01:45:00,85.69,603.725
2026-01-05,2,0,2026-01-05T02:00:00,87.21,620.35
2026-01-05,2,15,2026-01-05T02:15:00,86.61,631.675
2026-01-05,2,30,2026-01-05T02:30:00,86.93,641.875
2026-01-05,2,45,2026-01-05T02:45:00,85.28,654.725
2026-01-05,3,0,2026-01-05T03:00:00,86.36,690.975
2026-01-05,3,15,2026-01-05T03:15:00,85.97,709.025
2026-01-05,3,30,2026-01-05T03:30:00,85.74,726.6
2026-01-05,3,45,2026-01-05T03:45:00,87.18,738.5
2026-01-05,4,0,2026-01-05T04:00:00,86.25,754.175
2026-01-05,4,15,2026-01-05T04:15:00,86.73,765.2
2026-01-05,4,30,2026-01-05T04:30:00,87.01,810.15
2026-01-05,4,45,2026-01-05T04:45:00,89.99,853.15
2026-01-05,5,0,2026-01-05T05:00:00,87.46,899.975
2026-01-05,5,15,2026-01-05T05:15:00,88.35,963.3
2026-01-05,5,30,2026-01-05T05:30:00,89.11,994.775
2026-01-05,5,45,2026-01-05T05:45:00,98.51,1001.3
2026-01-05,6,0,2026-01-05T06:00:00,87.38,1061.925
2026-01-05,6,15,2026-01-05T06:15:00,104.9,1047.7
2026-01-05,6,30,2026-01-05T06:30:00,118.71,1042.05
2026-01-05,6,45,2026-01-05T06:45:00,125.1,1029.375
2026-01-05,7,0,2026-01-05T07:00:00,114.46,1030.575
2026-01-05,7,15,2026-01-05T07:15:00,120.92,1031.825
2026-01-05,7,30,2026-01-05T07:30:00,132.96,1035.425
2026-01-05,7,45,2026-01-05T07:45:00,148.91,1045.45
2026-01-05,8,0,2026-01-05T08:00:00,145.35,1117.425
2026-01-05,8,15,2026-01-05T08:15:00,156.49,1124.7
2026-01-05,8,30,2026-01-05T08:30:00,148.97,1122.2
2026-01-05,8,45,2026-01-05T08:45:00,153.89,1128.85
2026-01-05,9,0,2026-01-05T09:00:00,162.99,1146.8
2026-01-05,9,15,2026-01-05T09:15:00,161.49,1151.95
2026-01-05,9,30,2026-01-05T09:30:00,147.22,1151.175
2026-01-05,9,45,2026-01-05T09:45:00,136.9,1156.65
2026-01-05,10,0,2026-01-05T10:00:00,162.46,1169.075
2026-01-05,10,15,2026-01-05T10:15:00,146.73,1168.95
