date,block,block_start,direction,psr_type,price_eur_mw,volume_mw
2025-10-22,4,16:00,up,mixed,56.13,205
2025-10-22,5,20:00,up,mixed,9.36,140
2025-10-22,0,00:00,down,mixed,1.85,221
2025-10-22,1,04:00,down,mixed,1.26,156
2025-10-22,2,08:00,down,mixed,6.99,196
2025-10-22,3,12:00,down,mixed,0.4,121
2025-10-22,4,16:00,down,mixed,1.34,171
2025-10-22,5,20:00,down,mixed,1.49,241
2025-10-23,0,00:00,down,mixed,2.95,243
2025-10-23,1,04:00,down,mixed,1.18,168
2025-10-23,2,08:00,down,mixed,6.37,188
2025-10-23,3,12:00,down,mixed,0.34,123
2025-10-23,4,16:00,down,mixed,1.22,168
2025-10-23,5,20:00,down,mixed,1.71,223
2025-10-23,0,00:00,up,mixed,4.07,150
2025-10-23,1,04:00,up,mixed,12.69,192
2025-10-23,2,08:00,up,mixed,1.69,105
2025-10-23,3,12:00,up,mixed,1.1,105
2025-10-23,4,16:00,up,mixed,51.86,187
2025-10-23,5,20:00,up,mixed,8.73,130
2025-10-24,0,00:00,up,mixed,3.8,145
2025-10-24,1,04:00,up,mixed,12.23,159
2025-10-24,2,08:00,up,mixed,1.35,105
2025-10-24,3,12:00,up,mixed,0.94,120
2025-10-24,4,16:00,up,mixed,40.42,155
2025-10-24,5,20:00,up,mixed,7.52,135
2025-10-24,0,00:00,down,mixed,5.21,221
2025-10-24,1,04:00,down,mixed,1.05,166
2025-10-24,2,08:00,down,mixed,6.22,186
2025-10-24,3,12:00,down,mixed,0.28,121
2025-10-24,4,16:00,down,mixed,1.12,181
2025-10-24,5,20:00,down,mixed,2.82,220
2025-10-25,0,00:00,up,mixed,3.4,145
2025-10-25,1,04:00,up,mixed,10.04,133
2025-10-25,2,08:00,up,mixed,1.05,105
2025-10-25,3,12:00,up,mixed,0.76,125
2025-10-25,4,16:00,up,mixed,30.82,123
2025-10-25,5,20:00,up,mixed,6.15,135
2025-10-25,0,00:00,down,mixed,7.78,238
2025-10-25,1,04:00,down,mixed,0.92,161
2025-10-25,2,08:00,down,mixed,5.84,181
2025-10-25,3,12:00,down,mixed,0.2,121
2025-10-25,4,16:00,down,mixed,0.96,151
2025-10-25,5,20:00,down,mixed,4.91,240
2025-10-27,0,00:00,up,mixed,2.77,145
2025-10-27,1,04:00,up,mixed,9.37,205
2025-10-27,2,08:00,up,mixed,0.6,110
2025-10-27,3,12:00,up,mixed,0.55,125
2025-10-27,4,16:00,up,mixed,39.92,193
2025-10-27,5,20:00,up,mixed,4.93,135
2025-10-27,0,00:00,down,mixed,9.24,222
2025-10-27,1,04:00,down,mixed,0.71,132
2025-10-27,2,08:00,down,mixed,4.84,152
2025-10-27,3,12:00,down,mixed,0.11,122
2025-10-27,4,16:00,down,mixed,0.66,152
2025-10-27,5,20:00,down,mixed,6.56,212
2025-10-28,0,00:00,down,mixed,9.49,222
2025-10-28,1,04:00,down,mixed,0.54,132
2025-10-28,2,08:00,down,mixed,4.26,142
2025-10-28,3,12:00,down,mixed,0.09,122
2025-10-28,4,16:00,down,mixed,0.52,127
2025-10-28,5,20:00,down,mixed,6.52,202
2025-10-28,0,00:00,up,mixed,2.49,135
2025-10-28,1,04:00,up,mixed,10.32,205
2025-10-28,2,08:00,up,mixed,0.35,110
2025-10-28,3,12:00,up,mixed,0.45,140
2025-10-28,4,16:00,up,mixed,38.76,175
2025-10-28,5,20:00,up,mixed,4.37,135
2025-10-29,0,00:00,up,mixed,2.03,135
2025-10-29,1,04:00,up,mixed,9.68,205
2025-10-29,2,08:00,up,mixed,2.16,120
2025-10-29,3,12:00,up,mixed,8,165
2025-10-29,4,16:00,up,mixed,36.45,77
2025-10-29,5,20:00,up,mixed,4.11,135
2025-10-29,0,00:00,down,mixed,9.24,242
2025-10-29,1,04:00,down,mixed,0.43,148
2025-10-29,2,08:00,down,mixed,3.78,143
2025-10-29,3,12:00,down,mixed,0.09,128
2025-10-29,4,16:00,down,mixed,0.38,128
2025-10-29,5,20:00,down,mixed,5.75,212
2025-10-30,0,00:00,up,mixed,1.84,135
2025-10-30,1,04:00,up,mixed,9.57,196
2025-10-30,2,08:00,up,mixed,7.49,120
2025-10-30,3,12:00,up,mixed,13.66,160
2025-10-30,4,16:00,up,mixed,32.45,180
2025-10-30,5,20:00,up,mixed,3.68,135
2025-10-30,0,00:00,down,mixed,9.07,227
2025-10-30,1,04:00,down,mixed,0.35,142
2025-10-30,2,08:00,down,mixed,3.1,132
2025-10-30,3,12:00,down,mixed,0.07,122
2025-10-30,4,16:00,down,mixed,0.29,127
2025-10-30,5,20:00,down,mixed,4.91,108
2025-10-31,0,00:00,up,mixed,1.64,116
2025-10-31,1,04:00,up,mixed,9.27,114
2025-10-31,2,08:00,up,mixed,9.78,110
2025-10-31,3,12:00,up,mixed,12.85,139
2025-10-31,4,16:00,up,mixed,27.94,87
2025-10-31,5,20:00,up,mixed,3.25,124
2025-10-31,0,00:00,down,mixed,7.85,142
2025-10-31,1,04:00,down,mixed,0.27,142
2025-10-31,2,08:00,down,mixed,2.42,132
2025-10-31,3,12:00,down,mixed,0.05,122
2025-10-31,4,16:00,down,mixed,0.22,132
2025-10-31,5,20:00,down,mixed,4.05,170
2025-11-01,0,00:00,up,mixed,1.55,119
2025-11-01,1,04:00,up,mixed,8.05,136
2025-11-01,2,08:00,up,mixed,6.72,104
2025-11-01,3,12:00,up,mixed,11.66,124
2025-11-01,4,16:00,up,mixed,21.02,74
2025-11-01,5,20:00,up,mixed,3.07,124
2025-11-01,0,00:00,down,mixed,7.28,216
2025-11-01,1,04:00,down,mixed,0.36,130
2025-11-01,2,08:00,down,mixed,2.1,135
2025-11-01,3,12:00,down,mixed,0.36,130
2025-11-01,4,16:00,down,mixed,0.41,131
2025-11-01,5,20:00,down,mixed,3.82,181
2025-11-02,0,00:00,up,mixed,1.42,119
2025-11-02,1,04:00,up,mixed,6.77,104
2025-11-02,2,08:00,up,mixed,5.59,104
2025-11-02,3,12:00,up,mixed,9.45,122
2025-11-02,4,16:00,up,mixed,18.21,141
2025-11-02,5,20:00,up,mixed,3.05,124
2025-11-02,0,00:00,down,mixed,6.92,216
2025-11-02,1,04:00,down,mixed,0.34,146
2025-11-02,2,08:00,down,mixed,1.83,131
2025-11-02,3,12:00,down,mixed,0.25,126
2025-11-02,4,16:00,down,mixed,0.34,151
2025-11-02,5,20:00,down,mixed,3.45,181
2025-11-03,0,00:00,up,mixed,1.01,104
2025-11-03,1,04:00,up,mixed,6.19,159
2025-11-03,2,08:00,up,mixed,4.56,104
2025-11-03,3,12:00,up,mixed,8.03,124
2025-11-03,4,16:00,up,mixed,21.09,189
2025-11-03,5,20:00,up,mixed,2.64,124
2025-11-03,0,00:00,down,mixed,6.86,195
2025-11-03,1,04:00,down,mixed,0.25,140
2025-11-03,2,08:00,down,mixed,1.56,125
2025-11-03,3,12:00,down,mixed,0.16,120
2025-11-03,4,16:00,down,mixed,2.19,120
2025-11-03,5,20:00,down,mixed,3.25,155
2025-11-04,0,00:00,up,mixed,0.99,94
2025-11-04,1,04:00,up,mixed,6.14,159
2025-11-04,2,08:00,up,mixed,3.86,104
2025-11-04,3,12:00,up,mixed,6.72,119
2025-11-04,4,16:00,up,mixed,24.09,181
2025-11-04,5,20:00,up,mixed,2.31,124
2025-11-04,0,00:00,down,mixed,6.44,170
2025-11-04,1,04:00,down,mixed,0.21,120
2025-11-04,2,08:00,down,mixed,1.24,125
2025-11-04,3,12:00,down,mixed,0.16,120
2025-11-04,4,16:00,down,mixed,0.62,140
2025-11-04,5,20:00,down,mixed,2.87,150
2025-11-05,0,00:00,up,mixed,1.5,81
2025-11-05,1,04:00,up,mixed,6.07,151
2025-11-05,2,08:00,up,mixed,3.68,104
2025-11-05,3,12:00,up,mixed,6.38,139
2025-11-05,4,16:00,up,mixed,25.09,149
2025-11-05,5,20:00,up,mixed,2.23,124
2025-11-05,0,00:00,down,mixed,5.95,165
2025-11-05,1,04:00,down,mixed,0.19,120
2025-11-05,2,08:00,down,mixed,1.04,120
2025-11-05,3,12:00,down,mixed,0.2,120
2025-11-05,4,16:00,down,mixed,0.77,140
2025-11-05,5,20:00,down,mixed,2.56,160
2025-11-06,0,00:00,up,mixed,2.26,86
2025-11-06,1,04:00,up,mixed,6.41,74
2025-11-06,2,08:00,up,mixed,4.09,109
2025-11-06,3,12:00,up,mixed,21.96,164
2025-11-06,4,16:00,up,mixed,26.65,74
2025-11-06,5,20:00,up,mixed,2.26,74
2025-11-06,0,00:00,down,mixed,5.68,180
2025-11-06,1,04:00,down,mixed,0.33,140
2025-11-06,2,08:00,down,mixed,0.89,120
2025-11-06,3,12:00,down,mixed,0.24,120
2025-11-06,4,16:00,down,mixed,0.68,120
2025-11-06,5,20:00,down,mixed,2.24,155
2025-11-07,0,00:00,up,mixed,2.46,104
2025-11-07,1,04:00,up,mixed,7.67,136
2025-11-07,2,08:00,up,mixed,4.1,114
2025-11-07,3,12:00,up,mixed,21.71,169
2025-11-07,4,16:00,up,mixed,31.77,149
2025-11-07,5,20:00,up,mixed,3.51,124
